Start Date	Start Time	End Date	End Time	Time Zone
08/20/2012	07:00:00	08/23/2012	15:00:00	EST
08/20/2013	02:00:00	08/23/2013	09:00:00	GMT
08/21/2012	07:00:00	08/24/2012	14:00:00	EST
08/22/2011	19:00:00	08/26/2011	03:00:00	SST
08/22/2012	02:00:00	08/24/2012	08:00:00	GMT
08/23/2011	07:00:00	08/26/2011	15:00:00	EST
08/23/2011	07:00:00	08/26/2011	15:00:00	EST
08/23/2011	07:00:00	08/26/2011	15:00:00	EST
08/29/2011	07:00:00	09/01/2011	15:00:00	EST
08/29/2011	07:00:00	09/01/2011	15:00:00	EST
08/30/2011	07:00:00	09/02/2011	15:00:00	EST
09/03/2012	19:00:00	09/06/2012	01:00:00	SST
09/04/2012	02:00:00	09/07/2012	09:00:00	GMT
09/09/2013	06:30:00	09/13/2013	14:30:00	EST
09/10/2012	02:00:00	09/13/2012	09:00:00	GMT
09/10/2012	19:00:00	09/14/2012	03:00:00	SST
09/12/2005	09:00:00	09/16/2005	17:00:00	MST
09/15/2009	09:00:00	09/17/2009	17:00:00	MST
09/17/2007	09:00:00	09/20/2007	17:00:00	MST
09/18/2007	09:00:00	09/21/2007	17:00:00	MST
09/18/2012	02:00:00	09/21/2012	09:00:00	GMT
09/18/2012	02:00:00	09/21/2012	10:00:00	GMT
09/19/2011	19:00:00	09/23/2011	03:00:00	SST
09/24/2007	09:00:00	09/28/2007	17:00:00	MST
09/24/2013	06:30:00	09/27/2013	14:30:00	EST
09/26/2011	19:00:00	09/30/2011	03:00:00	SST
10/02/2006	09:00:00	10/06/2006	17:00:00	MST
10/02/2012	02:00:00	10/05/2012	09:00:00	GMT
10/03/2011	19:00:00	10/07/2011	03:00:00	SST
10/04/2004	09:00:00	10/08/2004	17:00:00	MST
10/08/2013	02:00:00	10/11/2013	09:00:00	GMT
10/09/2012	02:00:00	10/12/2012	09:00:00	GMT
10/09/2012	07:00:00	10/12/2012	14:00:00	EST
10/11/2004	09:00:00	10/15/2004	17:00:00	MST
10/11/2011	07:00:00	10/14/2011	15:00:00	EST
10/14/2013	06:30:00	10/18/2013	14:30:00	EST
10/15/2013	02:00:00	10/18/2013	09:00:00	GMT
10/16/2006	09:00:00	10/18/2006	17:00:00	MST
10/16/2007	09:00:00	10/19/2007	17:00:00	MST
10/16/2012	02:00:00	10/19/2012	10:00:00	GMT
10/17/2005	09:00:00	10/19/2005	17:00:00	MST
10/18/2011	02:00:00	10/21/2011	10:00:00	GMT
10/18/2011	07:00:00	10/21/2011	15:00:00	EST
10/19/2010	02:00:00	10/22/2010	09:00:00	GMT
10/20/2003	09:00:00	10/24/2003	17:00:00	MST
10/23/2012	02:00:00	10/26/2012	09:00:00	GMT
10/28/2013	19:00:00	11/01/2013	03:00:00	SST
10/30/2012	07:00:00	11/02/2012	14:00:00	EST
11/01/2005	09:00:00	11/03/2005	17:00:00	MST
11/03/2009	09:00:00	11/06/2009	17:00:00	MST
11/05/2012	02:00:00	11/08/2012	09:00:00	GMT
11/06/2012	02:00:00	11/09/2012	10:00:00	GMT
11/07/2005	09:00:00	11/11/2005	17:00:00	MST
11/08/2005	09:00:00	11/10/2005	17:00:00	MST
11/10/2009	09:00:00	11/13/2009	17:00:00	MST
11/12/2013	02:00:00	11/15/2013	09:00:00	GMT
11/12/2013	06:30:00	11/15/2013	14:30:00	EST
11/13/2007	09:00:00	11/16/2007	17:00:00	MST
11/13/2012	07:00:00	11/16/2012	14:00:00	EST
11/14/2005	09:00:00	11/16/2005	17:00:00	MST
11/14/2011	18:00:00	11/18/2011	02:00:00	SST
11/16/2010	09:00:00	11/19/2010	17:00:00	MST
11/21/2011	18:00:00	11/25/2011	02:00:00	SST
11/23/2010	09:00:00	11/26/2010	17:00:00	MST
11/27/2011	22:00:00	11/30/2011	06:00:00	AST
11/28/2005	09:00:00	11/30/2005	17:00:00	MST
11/28/2012	02:00:00	11/30/2012	09:00:00	GMT
12/01/2009	09:00:00	12/04/2009	17:00:00	MST
12/02/2004	09:00:00	12/03/2004	17:00:00	MST
12/04/2012	02:00:00	12/07/2012	09:00:00	GMT
12/05/2005	09:00:00	12/07/2005	17:00:00	MST
12/05/2011	18:00:00	12/09/2011	02:00:00	SST
12/06/2011	02:00:00	12/09/2011	10:00:00	GMT
12/13/2005	09:00:00	12/14/2005	17:00:00	MST
12/17/2007	07:00:00	12/20/2007	15:00:00	EST
